ticker,name,asset_class,country,exchange,currency
IRBR3,IRB Brasil ON,equity,BR,B3,BRL
SANB11,Santander Brasil UNIT,equity,BR,B3,BRL
BPAC11,BTG Pactual UNIT,equity,BR,B3,BRL
BRSR6,Banrisul PNB,equity,BR,B3,BRL
ITSA4,Itaúsa PN,equity,BR,B3,BRL
KLBN11,Klabin UNIT,equity,BR,B3,BRL
CMIN3,CSN Mineração ON,equity,BR,B3,BRL
BRAP4,Bradespar PN,equity,BR,B3,BRL
DXCO3,Dexco ON,equity,BR,B3,BRL
EVEN3,Even ON,equity,BR,B3,BRL
GFSA3,Gafisa ON,equity,BR,B3,BRL
HBOR3,Helbor ON,equity,BR,B3,BRL
JHSF3,JHSF ON,equity,BR,B3,BRL
MILS3,Mills ON,equity,BR,B3,BRL
OIBR3,Oi ON,equity,BR,B3,BRL
PETZ3,Petz ON,equity,BR,B3,BRL
QUAL3,Qualicorp ON,equity,BR,B3,BRL
SBSP3,Sabesp ON,equity,BR,B3,BRL
SAPR11,Sanepar UNIT,equity,BR,B3,BRL
SBFG3,Grupo SBF ON,equity,BR,B3,BRL
SEER3,Ser Educacional ON,equity,BR,B3,BRL
TRPL4,ISA CTEEP PN,equity,BR,B3,BRL
TUPY3,Tupy ON,equity,BR,B3,BRL
VAMO3,Vamos ON,equity,BR,B3,BRL
VLID3,Valid ON,equity,BR,B3,BRL
WIZC3,Wiz ON,equity,BR,B3,BRL
CEAB3,C&A Brasil ON,equity,BR,B3,BRL
DIRR3,Direcional ON,equity,BR,B3,BRL
FLRY3,Fleury ON,equity,BR,B3,BRL
ODPV3,Odontoprev ON,equity,BR,B3,BRL
POMO4,Marcopolo PN,equity,BR,B3,BRL
RAPT4,Randoncorp PN,equity,BR,B3,BRL
KEPL3,Kepler Weber ON,equity,BR,B3,BRL
LEVE3,Metal Leve ON,equity,BR,B3,BRL
